Invoice number,Customer id,Service id,Agent id,Billing date,Payment status,Transaction type,Mode of payment,Plan name,Plan category,Plan Charge,Tax amount,Actual amount,Billed amount,Paid amount,Balance amount,Plan start date,Plan end date,Zone area,Data buyed,Data used,Billing cycle,No of valid days,Leakage,Anomaly type,Type
INV15810,CUST2302,SERV792,AGENT52,2023-01-14,Paid,Sale,Net Banking,Standard,Postpaid,400,72.0,472.0,458.309127653855,458.309127653855,0.0,2023-01-14,2023-04-14,East,100,,90,90,Yes,Missing charges,Missing charges
INV15811,CUST7311,SERV586,AGENT77,2024-01-02,Paid,Sale,UPI,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2024-01-02,2024-02-01,East,10,,30,31,Yes,Usage mismatch,Usage mismatch
INV15812,CUST2190,SERV855,AGENT43,2022-10-09,Paid,Sale,Cash,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2022-10-09,2022-11-08,East,100,65.64939048662947,30,30,No,No Anomaly,No Anomaly
INV15813,CUST7211,SERV823,AGENT65,2023-04-23,Paid,Refund,Credit Card,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2023-04-23,2023-06-22,South,100,26.971933223373778,60,60,No,No Anomaly,No Anomaly
INV11465,CUST6383,SERV503,AGENT78,2024-04-25,Pending,Sale,Net Banking,Premium,Prepaid,600,108.0,708.0,708.0,0.0,708.0,2024-04-25,2024-05-25,North,50,,30,30,Yes,Duplicate entries,Duplicate entries
INV15815,CUST9300,SERV433,AGENT70,2024-09-16,Paid,Sale,Cash,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2024-09-16,2024-10-16,East,20,10.028642123588218,30,30,No,No Anomaly,No Anomaly
INV15816,CUST6069,SERV427,AGENT19,2024-10-28,Paid,Sale,Credit Card,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2024-10-28,2024-11-27,North,50,24.831144789311416,30,30,No,No Anomaly,No Anomaly
INV16110,CUST5360,SERV762,AGENT34,2022-01-02,Failed,Sale,Net Banking,Family,Prepaid,800,144.0,944.0,944.0,0.0,944.0,2022-01-02,2022-02-01,West,100,,30,30,Yes,Duplicate entries,Duplicate entries
INV15818,CUST1274,SERV690,AGENT91,2022-08-17,Paid,Sale,Credit Card,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2022-08-17,2022-11-15,East,100,3.138245375351678,90,90,No,No Anomaly,No Anomaly
INV15819,CUST6963,SERV107,AGENT55,2024-01-21,Paid,Sale,Credit Card,Family,Prepaid,800,144.0,944.0,944.0,958.5572187876578,-14.557218787657803,2024-01-21,2024-03-21,South,100,,60,60,Yes,Excess payment,Excess payment
INV15820,CUST5753,SERV462,AGENT69,2023-12-17,Paid,Sale,Cash,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2023-12-17,2024-01-16,South,10,0.7831056276198989,30,30,No,No Anomaly,No Anomaly
INV15821,CUST3114,SERV554,AGENT29,2023-11-04,Pending,Sale,UPI,Standard,Postpaid,400,72.0,472.0,472.0,0.0,472.0,2023-11-04,2024-02-02,North,10,8.692592656019432,90,90,No,No Anomaly,No Anomaly
INV19177,CUST2592,SERV990,AGENT28,2024-07-29,Paid,Sale,Net Banking,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2024-07-29,2024-08-28,East,10,,30,30,Yes,Duplicate entries,Duplicate entries
INV15823,CUST9878,SERV820,AGENT80,2022-10-13,Paid,Sale,Cash,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2022-10-13,2022-11-12,South,10,8.9601113386665,30,30,No,No Anomaly,No Anomaly
INV15824,CUST4576,SERV605,AGENT25,2022-02-04,Pending,Sale,Credit Card,Basic,Postpaid,200,36.0,236.0,236.0,218.1571241671366,17.8428758328634,2022-02-04,2022-04-05,South,200,,60,60,Yes,Under payment,Under payment
INV15825,CUST4624,SERV904,AGENT92,2023-10-30,Pending,Sale,UPI,Basic,Postpaid,200,36.0,236.0,236.0,0.0,236.0,2023-10-30,2024-01-28,East,10,8.87508918534442,90,90,No,No Anomaly,No Anomaly
INV15826,CUST8799,SERV544,AGENT49,2022-12-07,Paid,Sale,Credit Card,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2022-12-07,2023-02-05,South,20,,60,64,Yes,Usage mismatch,Usage mismatch
INV15827,CUST9883,SERV658,AGENT94,2024-10-29,Failed,Sale,UPI,Standard,Postpaid,400,72.0,472.0,472.0,0.0,472.0,2024-10-29,2024-12-28,North,200,,60,61,Yes,Usage mismatch,Usage mismatch
INV15828,CUST1189,SERV727,AGENT16,2024-07-08,Paid,Sale,UPI,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2024-07-08,2024-08-07,East,100,105.9215095137333,30,30,Yes,Extra data usage,Extra data usage
INV15829,CUST7272,SERV731,AGENT74,2023-06-21,Paid,Refund,Cash,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2023-06-21,2023-07-21,North,100,105.54044546421854,30,30,Yes,Extra data usage,Extra data usage
INV15830,CUST9401,SERV580,AGENT47,2024-05-06,Paid,Sale,UPI,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2024-05-06,2024-08-04,South,20,13.541388774028656,90,90,No,No Anomaly,No Anomaly
INV15831,CUST6087,SERV700,AGENT94,2023-08-07,Paid,Sale,UPI,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2023-08-07,2023-11-05,West,200,160.05710437653502,90,90,No,No Anomaly,No Anomaly
INV15832,CUST2178,SERV639,AGENT78,2023-04-22,Paid,Sale,UPI,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2023-04-22,2023-06-21,South,200,152.49070211532728,60,60,No,No Anomaly,No Anomaly
INV15833,CUST9083,SERV560,AGENT82,2022-06-21,Paid,Sale,Net Banking,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2022-06-21,2022-09-19,South,10,8.778109726413645,90,90,No,No Anomaly,No Anomaly
INV15834,CUST8155,SERV349,AGENT54,2023-04-12,Pending,Sale,Cash,Basic,Postpaid,200,36.0,236.0,212.33730930792137,0.0,212.33730930792137,2023-04-12,2023-06-11,East,10,,60,60,Yes,Missing charges,Missing charges
INV15835,CUST9080,SERV835,AGENT29,2024-11-03,Pending,Sale,Net Banking,Basic,Postpaid,200,36.0,236.0,236.0,0.0,236.0,2024-11-03,2025-02-01,West,50,11.368284389439715,90,90,No,No Anomaly,No Anomaly
INV15836,CUST6104,SERV697,AGENT99,2022-04-04,Paid,Sale,Credit Card,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2022-04-04,2022-07-03,West,200,166.39255655750662,90,90,No,No Anomaly,No Anomaly
INV15837,CUST1509,SERV501,AGENT49,2022-10-25,Paid,Sale,UPI,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2022-10-25,2022-12-24,West,20,4.421427504375,60,60,No,No Anomaly,No Anomaly
INV15838,CUST2065,SERV674,AGENT13,2023-09-07,Pending,Sale,Credit Card,Family,Prepaid,800,144.0,944.0,944.0,0.0,944.0,2023-09-07,2023-12-06,North,50,28.64660213837486,90,90,No,No Anomaly,No Anomaly
INV15839,CUST1075,SERV943,AGENT12,2022-06-10,Paid,Refund,Credit Card,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2022-06-10,2022-08-09,South,100,7.176183077254694,60,60,No,No Anomaly,No Anomaly
INV15840,CUST6882,SERV962,AGENT26,2022-10-01,Paid,Sale,Cash,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2022-10-01,2022-10-31,West,10,6.722181296620598,30,30,No,No Anomaly,No Anomaly
INV15841,CUST8330,SERV308,AGENT27,2023-08-30,Failed,Sale,UPI,Basic,Postpaid,200,36.0,236.0,236.0,0.0,236.0,2023-08-30,2023-11-28,South,50,31.596027222818307,90,90,No,No Anomaly,No Anomaly
INV15842,CUST2137,SERV252,AGENT36,2023-03-26,Pending,Sale,Net Banking,Premium,Prepaid,600,108.0,708.0,708.0,0.0,708.0,2023-03-26,2023-05-25,North,50,5.405005548908831,60,60,No,No Anomaly,No Anomaly
INV15843,CUST2115,SERV137,AGENT59,2022-09-16,Pending,Sale,Credit Card,Basic,Postpaid,200,36.0,236.0,236.0,0.0,236.0,2022-09-16,2022-10-16,West,10,,30,34,Yes,Usage mismatch,Usage mismatch
INV15844,CUST3967,SERV447,AGENT24,2024-08-30,Paid,Sale,UPI,Basic,Postpaid,200,36.0,236.0,236.0,282.7779941086652,-46.77799410866521,2024-08-30,2024-11-28,West,20,,90,90,Yes,Excess payment,Excess payment
INV15845,CUST8161,SERV328,AGENT85,2023-01-05,Paid,Sale,UPI,Family,Prepaid,800,144.0,944.0,903.9892911382751,903.9892911382751,0.0,2023-01-05,2023-03-06,East,20,,60,60,Yes,Missing charges,Missing charges
INV15846,CUST7937,SERV913,AGENT52,2024-12-25,Paid,Sale,Credit Card,Standard,Postpaid,400,72.0,472.0,429.13472081589856,429.13472081589856,0.0,2024-12-25,2025-03-25,West,20,,90,90,Yes,Missing charges,Missing charges
INV15847,CUST8681,SERV413,AGENT10,2023-08-08,Paid,Sale,Credit Card,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2023-08-08,2023-09-07,North,100,107.65768952239448,30,30,Yes,Extra data usage,Extra data usage
INV15848,CUST4573,SERV639,AGENT32,2022-04-05,Pending,Sale,UPI,Standard,Postpaid,400,72.0,472.0,472.0,0.0,472.0,2022-04-05,2022-07-04,South,20,,90,93,Yes,Usage mismatch,Usage mismatch
INV15849,CUST5022,SERV662,AGENT11,2024-05-26,Paid,Sale,Cash,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2024-05-26,2024-08-24,North,200,,90,92,Yes,Usage mismatch,Usage mismatch
INV10838,CUST2716,SERV543,AGENT45,2023-08-22,Paid,Sale,Cash,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2023-08-22,2023-10-21,North,100,,60,60,Yes,Duplicate entries,Duplicate entries
INV15851,CUST7062,SERV726,AGENT39,2024-01-03,Pending,Sale,Cash,Family,Prepaid,800,144.0,944.0,944.0,0.0,944.0,2024-01-03,2024-03-03,South,10,3.207333485314605,60,60,No,No Anomaly,No Anomaly
INV15852,CUST2770,SERV805,AGENT38,2024-07-02,Paid,Sale,Cash,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2024-07-02,2024-09-30,East,20,17.18835170419973,90,90,No,No Anomaly,No Anomaly
INV15853,CUST2428,SERV387,AGENT50,2023-04-25,Paid,Sale,Credit Card,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2023-04-25,2023-05-25,South,50,42.947641799971045,30,30,No,No Anomaly,No Anomaly
INV15854,CUST7030,SERV826,AGENT41,2023-12-18,Paid,Sale,Credit Card,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2023-12-18,2024-01-17,South,20,5.877367277017989,30,30,No,No Anomaly,No Anomaly
INV15855,CUST5551,SERV938,AGENT76,2023-06-09,Pending,Refund,Net Banking,Premium,Prepaid,600,108.0,708.0,662.9231897856913,0.0,662.9231897856913,2023-06-09,2023-08-08,North,10,,60,60,Yes,Missing charges,Missing charges
INV15856,CUST9535,SERV540,AGENT21,2022-10-12,Paid,Sale,Cash,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2022-10-12,2022-12-11,East,100,61.414985539771415,60,60,No,No Anomaly,No Anomaly
INV15857,CUST5411,SERV366,AGENT87,2022-11-21,Paid,Sale,Net Banking,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2022-11-21,2023-02-19,West,100,91.24456976901405,90,90,No,No Anomaly,No Anomaly
INV15858,CUST6755,SERV241,AGENT91,2023-11-27,Paid,Sale,UPI,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2023-11-27,2023-12-27,South,10,7.321144135936599,30,30,No,No Anomaly,No Anomaly
INV15859,CUST2522,SERV940,AGENT90,2023-05-06,Paid,Sale,Net Banking,Family,Prepaid,800,144.0,944.0,944.0,971.3612388543211,-27.361238854321073,2023-05-06,2023-08-04,North,50,,90,90,Yes,Excess payment,Excess payment
INV15860,CUST7388,SERV417,AGENT44,2023-10-02,Pending,Sale,UPI,Basic,Postpaid,200,36.0,236.0,236.0,0.0,236.0,2023-10-02,2023-11-01,North,100,107.87030092329445,30,30,Yes,Extra data usage,Extra data usage
INV15861,CUST2175,SERV609,AGENT61,2023-03-29,Paid,Sale,Net Banking,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2023-03-29,2023-06-27,West,20,16.10559472679551,90,90,No,No Anomaly,No Anomaly
INV15862,CUST2328,SERV906,AGENT97,2023-08-17,Pending,Sale,UPI,Premium,Prepaid,600,108.0,708.0,708.0,0.0,708.0,2023-08-17,2023-11-15,South,50,36.748530683125196,90,90,No,No Anomaly,No Anomaly
INV15863,CUST7535,SERV882,AGENT20,2022-05-02,Failed,Sale,Credit Card,Standard,Postpaid,400,72.0,472.0,472.0,0.0,472.0,2022-05-02,2022-06-01,East,100,46.72540616408637,30,30,No,No Anomaly,No Anomaly
INV15864,CUST4614,SERV901,AGENT55,2022-02-09,Pending,Sale,UPI,Basic,Postpaid,200,36.0,236.0,236.0,0.0,236.0,2022-02-09,2022-04-10,North,200,35.31353822493437,60,60,No,No Anomaly,No Anomaly
INV15865,CUST8277,SERV311,AGENT19,2023-12-04,Pending,Sale,Cash,Family,Prepaid,800,144.0,944.0,944.0,899.610586861706,44.389413138294,2023-12-04,2024-01-03,East,10,,30,30,Yes,Under payment,Under payment
INV15866,CUST5931,SERV934,AGENT93,2024-08-06,Paid,Sale,UPI,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2024-08-06,2024-10-05,South,20,13.476055364480672,60,60,No,No Anomaly,No Anomaly
INV15867,CUST9084,SERV580,AGENT84,2022-05-24,Paid,Sale,Cash,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2022-05-24,2022-07-23,East,10,9.151200878160532,60,60,No,No Anomaly,No Anomaly
INV15868,CUST1030,SERV551,AGENT80,2023-08-13,Paid,Sale,UPI,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2023-08-13,2023-10-12,North,10,1.2391974377099235,60,60,No,No Anomaly,No Anomaly
INV15869,CUST7359,SERV787,AGENT62,2022-02-23,Failed,Sale,Net Banking,Premium,Prepaid,600,108.0,708.0,708.0,0.0,708.0,2022-02-23,2022-05-24,North,50,47.09527305117206,90,90,No,No Anomaly,No Anomaly
INV15870,CUST6306,SERV306,AGENT42,2023-05-22,Paid,Refund,Cash,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2023-05-22,2023-07-21,East,10,2.4773271338975587,60,60,No,No Anomaly,No Anomaly
INV15871,CUST3151,SERV532,AGENT88,2024-06-18,Pending,Sale,Credit Card,Premium,Prepaid,600,108.0,708.0,708.0,0.0,708.0,2024-06-18,2024-09-16,South,20,1.151161738561104,90,90,No,No Anomaly,No Anomaly
INV15872,CUST9148,SERV346,AGENT77,2022-06-02,Paid,Sale,Net Banking,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2022-06-02,2022-08-01,South,200,101.73845755112923,60,60,No,No Anomaly,No Anomaly
INV15873,CUST6622,SERV479,AGENT47,2023-04-10,Paid,Sale,Cash,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2023-04-10,2023-05-10,West,10,0.9109121557381539,30,30,No,No Anomaly,No Anomaly
INV15874,CUST4768,SERV341,AGENT92,2024-02-15,Paid,Sale,Net Banking,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2024-02-15,2024-04-15,North,200,159.1977963377028,60,60,No,No Anomaly,No Anomaly
INV15875,CUST6373,SERV850,AGENT54,2023-12-02,Paid,Sale,Credit Card,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2023-12-02,2024-03-01,South,20,9.643140254896332,90,90,No,No Anomaly,No Anomaly
INV15876,CUST4337,SERV145,AGENT77,2023-04-18,Paid,Sale,UPI,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2023-04-18,2023-07-17,North,20,9.790994087446181,90,90,No,No Anomaly,No Anomaly
INV15877,CUST4851,SERV305,AGENT44,2022-02-11,Paid,Sale,Cash,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2022-02-11,2022-05-12,East,100,71.03461123891812,90,90,No,No Anomaly,No Anomaly
INV15878,CUST3115,SERV996,AGENT30,2023-10-17,Pending,Sale,Cash,Standard,Postpaid,400,72.0,472.0,472.0,0.0,472.0,2023-10-17,2023-11-16,East,50,21.823876730642038,30,30,No,No Anomaly,No Anomaly
INV15879,CUST7175,SERV420,AGENT26,2023-07-06,Pending,Sale,Credit Card,Basic,Postpaid,200,36.0,236.0,218.18903186104262,0.0,218.18903186104262,2023-07-06,2023-10-04,North,100,,90,90,Yes,Missing charges,Missing charges
INV15880,CUST8972,SERV482,AGENT33,2022-08-17,Paid,Sale,Net Banking,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2022-08-17,2022-10-16,South,20,5.910416769824289,60,60,No,No Anomaly,No Anomaly
INV15881,CUST5825,SERV682,AGENT52,2024-07-20,Pending,Sale,Net Banking,Family,Prepaid,800,144.0,944.0,944.0,0.0,944.0,2024-07-20,2024-09-18,North,100,72.02549471793066,60,60,No,No Anomaly,No Anomaly
INV15882,CUST6887,SERV150,AGENT49,2022-02-18,Pending,Sale,UPI,Basic,Postpaid,200,36.0,236.0,236.0,0.0,236.0,2022-02-18,2022-05-19,North,100,82.33926289192948,90,90,No,No Anomaly,No Anomaly
INV14757,CUST7090,SERV753,AGENT71,2023-04-28,Paid,Sale,Cash,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2023-04-28,2023-07-27,South,20,,90,90,Yes,Duplicate entries,Duplicate entries
INV15884,CUST3843,SERV585,AGENT39,2023-09-09,Pending,Sale,UPI,Basic,Postpaid,200,36.0,236.0,236.0,0.0,236.0,2023-09-09,2023-12-08,South,100,19.209924969662275,90,90,No,No Anomaly,No Anomaly
INV15885,CUST8405,SERV811,AGENT17,2022-08-22,Paid,Sale,Cash,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2022-08-22,2022-10-21,South,10,6.361096031677958,60,60,No,No Anomaly,No Anomaly
INV15886,CUST5965,SERV946,AGENT50,2022-05-07,Paid,Sale,UPI,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2022-05-07,2022-08-05,South,50,28.618538600606268,90,90,No,No Anomaly,No Anomaly
INV15887,CUST6554,SERV782,AGENT78,2023-06-22,Paid,Sale,Net Banking,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2023-06-22,2023-08-21,North,10,,60,65,Yes,Usage mismatch,Usage mismatch
INV15888,CUST3203,SERV782,AGENT50,2023-04-12,Paid,Sale,UPI,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2023-04-12,2023-06-11,South,100,101.71502442110616,60,60,Yes,Extra data usage,Extra data usage
INV15889,CUST6762,SERV471,AGENT78,2024-12-30,Pending,Sale,Credit Card,Standard,Postpaid,400,72.0,472.0,472.0,0.0,472.0,2024-12-30,2025-03-30,North,100,4.977934823627805,90,90,No,No Anomaly,No Anomaly
INV15890,CUST8052,SERV974,AGENT30,2024-03-01,Paid,Sale,Net Banking,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2024-03-01,2024-05-30,West,20,3.3613499141455483,90,90,No,No Anomaly,No Anomaly
INV15891,CUST4557,SERV276,AGENT43,2022-07-17,Failed,Sale,Net Banking,Premium,Prepaid,600,108.0,708.0,708.0,0.0,708.0,2022-07-17,2022-10-15,South,20,14.89722952299237,90,90,No,No Anomaly,No Anomaly
INV15892,CUST4505,SERV626,AGENT69,2022-08-15,Paid,Sale,UPI,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2022-08-15,2022-09-14,East,20,3.2597047142303515,30,30,No,No Anomaly,No Anomaly
INV15893,CUST6759,SERV399,AGENT39,2024-04-04,Paid,Sale,Cash,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2024-04-04,2024-06-03,East,100,97.77348997822773,60,60,No,No Anomaly,No Anomaly
INV15894,CUST5003,SERV278,AGENT87,2023-11-15,Paid,Sale,UPI,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2023-11-15,2023-12-15,West,50,12.683106832182157,30,30,No,No Anomaly,No Anomaly
INV15895,CUST7106,SERV185,AGENT82,2024-09-22,Failed,Sale,Credit Card,Basic,Postpaid,200,36.0,236.0,236.0,0.0,236.0,2024-09-22,2024-12-21,East,200,39.7430996318517,90,90,No,No Anomaly,No Anomaly
INV15896,CUST7474,SERV749,AGENT86,2022-08-07,Paid,Sale,Credit Card,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2022-08-07,2022-10-06,West,200,46.02325405598145,60,60,No,No Anomaly,No Anomaly
INV15897,CUST4421,SERV688,AGENT99,2023-10-16,Paid,Sale,UPI,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2023-10-16,2023-12-15,North,20,3.2420744576289695,60,60,No,No Anomaly,No Anomaly
INV15898,CUST8938,SERV431,AGENT79,2023-10-31,Pending,Sale,UPI,Basic,Postpaid,200,36.0,236.0,236.0,0.0,236.0,2023-10-31,2024-01-29,South,10,3.9127158824048234,90,90,No,No Anomaly,No Anomaly
INV15899,CUST6862,SERV141,AGENT50,2023-01-25,Pending,Sale,UPI,Family,Prepaid,800,144.0,944.0,944.0,0.0,944.0,2023-01-25,2023-04-25,West,20,5.907401156488746,90,90,No,No Anomaly,No Anomaly
INV15900,CUST7663,SERV969,AGENT24,2024-12-18,Paid,Sale,UPI,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2024-12-18,2025-03-18,North,20,19.912950077956737,90,90,No,No Anomaly,No Anomaly
INV15901,CUST9595,SERV718,AGENT71,2024-01-24,Paid,Sale,Credit Card,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2024-01-24,2024-04-23,South,50,24.892709146768084,90,90,No,No Anomaly,No Anomaly
INV15902,CUST9714,SERV323,AGENT19,2023-09-22,Paid,Sale,UPI,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2023-09-22,2023-10-22,East,20,,30,34,Yes,Usage mismatch,Usage mismatch
INV15903,CUST4399,SERV771,AGENT21,2023-04-29,Paid,Sale,Cash,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2023-04-29,2023-07-28,West,50,23.949370843377473,90,90,No,No Anomaly,No Anomaly
INV15904,CUST6392,SERV779,AGENT39,2022-06-29,Paid,Sale,Cash,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2022-06-29,2022-08-28,North,10,6.259074461341446,60,60,No,No Anomaly,No Anomaly
INV15905,CUST5270,SERV953,AGENT10,2023-01-10,Pending,Sale,Net Banking,Premium,Prepaid,600,108.0,708.0,708.0,0.0,708.0,2023-01-10,2023-03-11,East,20,8.725766809544941,60,60,No,No Anomaly,No Anomaly
INV15906,CUST3342,SERV106,AGENT35,2024-12-15,Failed,Sale,Credit Card,Basic,Postpaid,200,36.0,236.0,236.0,0.0,236.0,2024-12-15,2025-02-13,South,50,15.986047589113788,60,60,No,No Anomaly,No Anomaly
INV15907,CUST4178,SERV772,AGENT33,2023-01-14,Paid,Sale,Cash,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2023-01-14,2023-04-14,East,20,16.012408824281867,90,90,No,No Anomaly,No Anomaly
INV15908,CUST2043,SERV298,AGENT83,2022-08-30,Paid,Refund,UPI,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2022-08-30,2022-10-29,West,50,37.210381192662,60,60,No,No Anomaly,No Anomaly
INV15909,CUST4493,SERV837,AGENT46,2023-08-20,Paid,Refund,UPI,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2023-08-20,2023-11-18,South,200,112.02466735055849,90,90,No,No Anomaly,No Anomaly
INV15910,CUST6708,SERV490,AGENT31,2023-03-17,Paid,Sale,Cash,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2023-03-17,2023-06-15,South,100,107.53026026518147,90,90,Yes,Extra data usage,Extra data usage
INV15911,CUST4180,SERV531,AGENT75,2023-11-29,Paid,Sale,Cash,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2023-11-29,2023-12-29,West,10,8.690068228924643,30,30,No,No Anomaly,No Anomaly
INV15912,CUST5227,SERV649,AGENT95,2022-11-12,Paid,Sale,Cash,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2022-11-12,2023-02-10,North,200,,90,91,Yes,Usage mismatch,Usage mismatch
INV15913,CUST6463,SERV588,AGENT71,2023-08-25,Paid,Sale,Cash,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2023-08-25,2023-09-24,North,200,178.78337505081106,30,30,No,No Anomaly,No Anomaly
INV15914,CUST8563,SERV302,AGENT39,2024-03-05,Pending,Sale,Credit Card,Family,Prepaid,800,144.0,944.0,944.0,923.2820613884628,20.717938611537193,2024-03-05,2024-06-03,West,50,,90,90,Yes,Under payment,Under payment
INV15915,CUST7472,SERV584,AGENT83,2023-03-26,Failed,Sale,Cash,Family,Prepaid,800,144.0,944.0,944.0,0.0,944.0,2023-03-26,2023-04-25,North,10,6.278823963342384,30,30,No,No Anomaly,No Anomaly
INV15916,CUST8885,SERV159,AGENT46,2024-12-02,Pending,Sale,Credit Card,Basic,Postpaid,200,36.0,236.0,236.0,216.75929945765938,19.24070054234062,2024-12-02,2025-01-31,North,50,,60,60,Yes,Under payment,Under payment
INV15917,CUST1967,SERV936,AGENT81,2024-02-06,Paid,Sale,Credit Card,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2024-02-06,2024-03-07,West,100,21.241113766849796,30,30,No,No Anomaly,No Anomaly
INV15918,CUST5949,SERV786,AGENT93,2024-03-26,Pending,Sale,Net Banking,Basic,Postpaid,200,36.0,236.0,236.0,0.0,236.0,2024-03-26,2024-05-25,East,100,55.76321179943439,60,60,No,No Anomaly,No Anomaly
INV15919,CUST6710,SERV266,AGENT46,2022-01-04,Paid,Sale,UPI,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2022-01-04,2022-02-03,South,100,101.66766788426759,30,30,Yes,Extra data usage,Extra data usage
INV15920,CUST5206,SERV538,AGENT89,2022-01-03,Paid,Sale,Cash,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2022-01-03,2022-03-04,West,50,55.54941876309191,60,60,Yes,Extra data usage,Extra data usage
INV15921,CUST2081,SERV165,AGENT49,2022-11-21,Pending,Sale,Credit Card,Basic,Postpaid,200,36.0,236.0,236.0,0.0,236.0,2022-11-21,2023-02-19,West,200,182.12324137688702,90,90,No,No Anomaly,No Anomaly
INV15922,CUST6099,SERV180,AGENT36,2024-05-16,Pending,Sale,Net Banking,Basic,Postpaid,200,36.0,236.0,236.0,0.0,236.0,2024-05-16,2024-07-15,South,100,54.10017393558121,60,60,No,No Anomaly,No Anomaly
INV15923,CUST7066,SERV378,AGENT88,2022-04-17,Paid,Sale,Net Banking,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2022-04-17,2022-05-17,West,50,59.414708881862374,30,30,Yes,Extra data usage,Extra data usage
INV15924,CUST2415,SERV459,AGENT19,2022-08-27,Paid,Sale,UPI,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2022-08-27,2022-11-25,North,20,0.9225168161156239,90,90,No,No Anomaly,No Anomaly
